cgpa,projects,communication_skills,internship,programming_skills,technical_skills,certifications,aptitude,interview_score,placement_status
6.5,2,6.0,1,5.2,6.1,4,66.7,46.3,0
7.12,3,5.1,0,6.4,5.5,0,65.3,59.0,1
7.07,2,8.5,0,6.0,6.2,1,70.0,73.6,1
7.02,4,8.2,0,7.6,7.2,2,80.9,76.9,1
7.02,0,5.7,0,5.3,3.5,0,64.5,44.6,0
6.45,3,4.1,0,6.5,5.2,2,72.4,47.9,0
6.03,2,6.4,0,4.3,4.8,0,55.3,43.8,0
5.57,1,6.3,0,5.2,4.6,0,39.9,48.2,0
7.66,3,5.8,1,7.1,5.8,3,80.9,62.0,1
7.75,5,5.6,0,6.5,7.4,2,72.2,57.9,1
7.95,4,7.0,1,5.8,5.9,2,66.7,63.9,1
5.62,3,6.2,0,5.2,3.5,3,45.0,48.0,0
6.79,2,7.4,1,5.0,5.6,1,63.9,64.2,1
6.93,4,6.4,1,7.0,6.2,2,72.1,66.0,1
5.89,1,4.1,0,5.2,5.1,1,51.0,47.2,0
7.61,3,8.2,0,7.7,7.4,1,94.2,73.1,1
8.3,6,6.1,0,8.4,8.9,3,86.6,74.5,1
6.58,5,6.5,1,7.7,7.7,2,71.5,75.3,1
6.0,2,9.3,0,3.8,3.7,1,47.5,63.7,0
6.89,0,6.3,0,4.2,3.8,0,71.0,55.5,0
7.56,2,5.3,0,5.0,5.7,2,67.3,44.3,1
6.31,3,6.2,0,6.5,6.0,2,58.4,56.0,0
7.2,5,7.0,0,8.0,8.2,3,67.3,84.2,1
5.44,2,7.0,0,6.9,7.1,1,54.3,63.7,0
8.72,3,5.4,1,7.6,6.8,1,90.4,63.6,1
6.5,3,5.3,0,6.3,5.9,2,62.0,51.0,0
6.5,1,9.0,0,5.1,5.0,1,55.8,71.4,0
6.78,2,5.9,0,6.4,5.1,1,65.0,49.4,1
6.57,4,5.1,0,6.7,5.3,2,62.9,59.5,0
6.46,3,7.4,1,5.4,4.8,4,64.9,57.4,1
6.28,3,6.7,0,7.1,6.4,1,59.6,62.8,1
5.99,4,8.0,0,7.1,5.9,1,62.3,73.4,1
7.83,6,8.3,0,8.2,8.5,3,77.3,78.0,1
6.86,3,7.0,1,5.4,5.6,1,64.5,61.2,1
8.31,7,7.0,1,9.0,8.9,3,84.5,84.2,1
5.07,2,6.4,0,5.9,4.1,2,50.0,51.4,0
7.96,4,5.6,1,7.9,7.9,1,76.2,66.2,1
5.73,4,6.5,0,6.2,6.1,2,49.6,66.2,0
6.86,1,7.5,0,3.6,2.5,0,68.2,58.1,0
6.34,3,7.7,1,6.4,6.7,2,71.3,67.8,1
8.26,5,6.7,0,8.7,8.8,2,86.2,71.8,1
8.02,3,6.5,1,7.7,6.9,1,95.2,83.4,1
8.15,5,6.8,1,7.2,5.6,0,78.5,56.0,1
8.56,4,7.6,0,5.9,6.9,2,72.2,90.4,1
6.11,5,6.3,0,6.0,6.1,3,55.3,64.7,0
6.99,2,6.7,0,5.0,5.6,1,63.3,66.9,1
5.06,1,6.3,0,5.2,4.8,0,43.8,64.2,1
7.91,3,6.3,1,7.6,7.8,1,75.1,68.1,1
5.2,1,6.7,0,6.1,5.9,2,53.5,68.0,0
7.1,4,5.6,0,6.7,6.7,2,81.5,62.7,1
8.18,2,5.8,0,7.8,6.4,1,90.2,57.1,1
5.43,0,5.2,0,6.2,5.4,0,51.0,47.1,0
7.87,1,6.1,0,6.3,5.2,2,78.5,65.2,1
7.17,5,6.5,1,7.3,7.1,2,65.1,68.4,1
7.69,4,5.8,1,5.0,5.4,3,68.8,53.2,1
7.87,6,6.2,1,6.8,7.3,3,76.7,58.4,1
6.71,3,8.1,0,5.6,5.7,3,55.1,67.3,1
5.52,3,7.3,0,6.6,6.9,2,47.4,63.4,0
7.01,0,5.7,0,3.8,3.9,0,51.9,37.8,0
7.24,4,7.1,1,5.3,5.3,3,63.6,76.3,1
7.07,2,6.6,0,7.3,6.7,1,72.0,61.7,1
5.55,3,3.6,1,5.4,5.5,3,56.1,50.7,0
7.8,5,6.2,0,7.7,8.6,2,83.1,71.7,1
7.15,0,5.7,0,4.7,5.0,3,52.6,66.5,0
7.32,1,5.6,0,6.8,6.2,2,67.5,66.9,1
6.45,2,6.8,0,6.7,5.8,2,69.6,58.7,1
8.42,6,7.4,0,9.6,9.5,2,88.2,83.8,1
8.03,3,8.8,1,9.5,8.2,2,84.6,81.9,1
6.14,1,6.2,0,6.1,6.0,1,53.7,62.0,0
7.31,4,5.4,0,6.1,5.7,2,73.3,60.9,1
8.71,7,7.1,1,9.7,10.0,2,100.0,88.5,1
6.42,3,7.5,0,5.7,5.8,0,53.9,62.2,0
6.48,3,7.0,0,6.2,5.5,3,68.8,59.5,1
8.31,3,6.4,0,5.4,4.8,2,78.2,53.9,1
7.7,4,5.1,0,5.3,6.1,4,76.4,45.7,1
6.97,4,4.1,0,8.0,7.8,2,74.2,57.3,1
8.28,2,9.0,0,7.8,8.1,2,79.0,92.2,1
6.06,0,6.1,0,4.4,5.3,1,67.7,66.4,0
8.81,6,8.6,1,8.9,9.7,4,94.8,92.4,1
7.52,2,7.0,1,8.1,7.7,2,77.5,70.5,1
6.75,1,6.8,1,4.7,4.7,0,59.3,64.8,0
8.15,2,4.4,1,6.7,5.9,1,92.6,47.9,1
6.74,2,5.2,0,4.6,4.8,1,58.7,50.2,0
7.58,2,6.5,0,7.2,7.1,0,74.2,64.0,0
6.94,0,7.0,0,4.3,3.8,0,47.6,67.6,0
5.8,3,6.9,0,5.9,4.7,1,65.7,67.2,0
6.25,3,4.4,0,4.5,4.3,2,60.7,43.8,0
7.11,5,7.3,0,5.0,5.8,2,78.9,60.9,1
7.26,5,5.3,0,6.3,7.2,5,79.6,63.4,1
8.03,2,6.7,0,5.1,4.7,2,85.4,58.6,1
6.17,1,5.6,0,3.4,3.7,3,65.8,52.8,0
6.34,3,7.1,1,6.0,6.3,2,63.4,69.7,1
7.7,2,8.2,0,6.2,6.0,2,86.3,66.8,1
6.13,0,5.7,0,5.5,5.2,1,60.3,52.4,0
6.4,2,5.8,0,5.8,5.2,1,54.5,52.8,0
5.08,1,5.3,0,6.3,5.8,0,45.9,50.7,0
6.31,4,6.8,0,7.4,7.2,3,75.3,60.2,1
7.44,3,7.3,1,8.7,6.8,2,78.8,77.9,1
5.15,0,7.4,0,2.5,2.5,0,35.0,56.5,0
7.2,3,7.2,1,6.9,5.3,4,69.9,67.2,1
7.96,3,6.8,1,8.0,7.4,0,83.4,72.7,1
6.67,1,6.3,0,7.1,6.7,1,67.0,59.8,1
7.68,3,4.9,0,6.9,6.5,1,92.4,53.1,1
8.09,6,9.2,1,8.9,9.2,3,84.4,84.3,1
6.82,1,4.8,1,6.5,7.4,0,68.7,47.6,1
5.11,1,8.0,0,5.1,4.6,1,44.3,69.2,0
8.24,7,5.8,0,9.6,9.0,4,95.4,66.5,1
7.03,3,7.1,0,5.7,5.7,1,66.1,63.1,1
8.49,6,7.8,1,7.9,7.9,4,77.2,90.9,1
6.51,3,5.2,0,6.1,5.2,2,55.1,43.5,0
4.73,0,4.4,0,4.6,3.5,2,38.0,53.5,0
7.34,5,8.0,1,7.9,7.6,4,78.3,72.2,1
7.29,5,8.0,1,7.8,8.0,2,77.9,87.9,1
7.46,3,5.5,0,6.9,5.5,1,69.6,50.7,1
8.83,4,7.3,1,9.2,8.2,2,100.0,79.8,1
7.07,3,5.7,1,4.8,5.9,2,67.2,54.8,1
6.11,5,6.7,0,7.3,6.1,1,50.4,64.0,1
7.34,2,4.8,0,5.6,5.9,2,54.8,47.2,1
6.48,4,6.3,0,8.1,6.3,1,67.1,71.0,1
7.06,0,6.2,0,4.4,4.1,0,70.5,66.2,0
6.46,1,7.4,0,4.8,3.5,1,60.7,71.2,0
9.06,5,9.7,1,8.4,8.2,3,100.0,86.2,1
9.13,5,7.6,1,9.0,8.8,2,100.0,82.8,1
7.07,3,5.6,0,6.1,5.7,2,62.8,54.4,1
6.67,2,7.0,0,6.1,5.2,2,51.2,54.3,0
7.06,1,5.4,0,5.4,4.4,1,60.5,57.1,1
6.32,3,5.7,0,6.5,5.3,2,48.1,54.4,0
5.82,4,6.5,1,6.5,6.5,3,58.0,62.6,1
7.21,5,5.6,0,8.1,7.3,3,73.4,77.2,1
7.22,3,4.7,0,6.6,4.9,1,64.3,41.2,0
6.37,5,8.9,1,7.2,8.8,2,66.7,86.6,1
8.57,4,4.5,1,7.3,7.6,2,100.0,51.0,1
7.66,4,6.1,1,6.7,6.3,3,68.2,70.3,1
5.91,3,8.3,0,7.7,6.9,2,68.1,76.6,1
7.52,4,5.9,1,6.6,6.1,2,67.3,57.1,1
7.0,3,5.4,0,5.0,6.5,3,64.2,57.2,1
6.74,3,5.9,1,5.9,6.1,2,63.0,77.3,1
8.04,3,6.8,0,5.1,7.0,0,85.6,61.9,1
5.35,2,5.4,0,3.4,2.9,1,49.5,49.3,0
5.94,0,6.6,0,3.5,3.7,1,49.4,44.4,0
6.24,3,6.2,0,5.7,4.6,4,50.1,48.3,0
6.57,3,7.4,0,5.2,5.8,3,61.6,67.1,1
6.37,3,4.8,0,6.4,6.1,3,61.2,47.6,1
6.75,2,5.0,0,5.7,4.5,0,65.3,54.0,0
6.52,4,7.7,0,6.7,6.0,4,71.1,59.7,1
5.82,0,3.7,0,2.9,2.5,2,47.1,35.0,0
5.29,2,7.7,0,6.0,5.0,2,57.7,59.0,0
6.96,1,6.4,1,4.1,5.6,2,58.9,65.6,0
7.62,2,8.0,1,7.2,6.0,1,74.6,70.9,1
6.45,2,6.2,0,3.5,4.2,1,49.9,68.2,0
6.73,3,5.2,0,5.6,5.4,2,61.4,54.9,0
8.36,7,7.5,0,10.0,10.0,2,87.9,86.5,1
7.01,2,6.7,1,6.7,6.4,1,62.7,73.0,1
8.23,4,7.0,0,7.9,7.6,1,81.6,63.4,1
8.4,5,7.3,0,5.8,5.2,2,77.6,67.2,0
7.66,7,7.3,1,9.7,9.4,3,100.0,72.1,1
5.75,1,4.4,0,4.6,4.9,2,48.3,43.1,0
5.93,1,4.8,0,3.9,4.7,2,49.9,39.8,0
7.51,5,7.7,1,7.3,7.8,2,78.0,80.5,1
7.71,3,7.5,0,6.5,6.4,2,79.5,69.4,1
6.84,3,7.1,0,5.8,5.5,2,65.2,62.8,1
6.41,0,7.5,0,5.2,4.7,0,44.2,53.2,0
9.25,5,7.5,1,8.4,8.1,3,94.5,83.2,1
7.33,3,6.1,0,4.0,3.9,1,63.7,57.4,0
6.07,4,4.8,1,5.4,5.3,0,61.5,66.0,0
6.91,3,5.4,0,3.7,4.2,0,79.8,35.0,0
5.51,1,7.1,0,5.6,5.6,0,58.3,63.1,0
7.42,5,6.5,0,7.2,6.1,2,71.8,72.7,1
5.95,0,5.7,0,2.5,2.5,2,52.1,51.7,0
7.75,2,5.8,0,6.4,6.9,1,64.1,59.9,1
7.05,3,7.7,0,7.0,6.3,1,76.3,64.6,1
5.83,1,6.7,0,4.5,4.0,2,54.9,54.5,0
5.34,1,5.6,0,5.0,6.4,1,48.8,54.2,0
5.7,3,5.8,1,4.4,4.0,2,50.3,44.8,1
8.49,6,6.3,1,7.6,8.3,3,89.3,69.9,1
9.36,7,6.3,1,9.8,9.6,4,97.4,75.3,1
7.63,3,6.3,0,7.9,7.6,0,90.8,67.8,1
6.49,2,6.8,0,7.8,5.4,1,55.7,66.1,1
6.98,2,8.1,0,7.1,5.6,2,79.7,88.5,1
6.44,5,6.3,1,7.3,6.8,0,67.3,72.6,1
6.85,0,6.2,0,3.7,3.9,0,55.1,55.5,0
7.84,3,7.7,0,6.7,5.7,1,66.3,79.1,1
7.53,3,6.5,1,7.7,5.9,2,81.4,67.9,1
5.79,1,6.5,0,6.7,6.1,0,55.2,72.9,0
7.05,4,6.1,0,6.8,5.9,2,75.5,67.2,1
7.32,2,7.3,1,6.9,6.6,2,70.7,64.9,1
8.63,2,6.0,1,7.4,7.5,2,83.1,50.0,1
7.3,3,7.2,1,7.6,7.6,2,65.2,73.5,1
7.01,1,7.6,1,4.6,4.9,2,69.1,54.5,0
6.97,1,6.1,0,5.4,4.8,1,62.4,60.6,0
7.07,4,5.5,0,6.8,7.3,3,73.8,58.2,1
6.63,4,4.5,1,6.0,5.4,3,70.8,51.9,0
8.51,8,8.9,1,9.7,9.3,4,98.8,90.7,1
6.79,1,4.9,0,6.8,5.5,1,66.6,60.4,0
7.14,2,4.3,0,7.2,5.6,3,73.6,58.1,1
7.52,3,6.6,0,5.8,6.4,2,68.7,62.0,1
7.02,2,5.1,0,5.2,5.5,2,69.6,58.5,0
6.17,3,4.9,0,6.3,6.6,1,47.3,52.7,0
6.68,4,7.2,0,8.3,7.8,1,78.4,62.3,1
6.39,3,6.6,0,6.1,5.9,3,66.4,68.4,1
6.63,1,8.3,1,7.0,7.4,1,66.7,87.2,1
8.48,3,8.0,1,8.4,6.5,2,84.1,71.8,1
8.62,3,8.3,0,6.3,5.6,2,79.3,75.9,1
6.4,2,6.0,0,4.8,4.0,2,53.6,60.5,0
6.32,1,4.6,0,5.4,5.2,0,61.0,48.8,0
7.57,5,6.9,1,6.4,6.7,3,72.8,68.1,1
7.94,5,6.2,1,8.3,7.0,3,83.5,75.3,0
7.72,3,6.5,0,6.1,6.4,2,74.6,56.5,1
6.79,3,4.6,0,5.2,5.4,1,61.4,54.7,0
7.5,2,8.4,1,4.9,5.4,2,58.7,68.6,1
6.12,2,4.6,0,6.5,5.0,1,57.3,37.3,0
5.99,3,7.0,1,6.2,5.9,1,59.9,76.3,1
7.31,4,8.2,0,7.8,7.3,3,78.7,74.1,1
6.37,4,7.2,0,7.5,7.1,1,71.3,66.1,1
6.79,1,7.2,0,3.7,4.4,2,58.6,53.7,0
6.91,6,7.4,1,9.4,9.7,4,79.0,68.4,1
7.15,3,5.9,1,7.9,7.1,0,78.3,65.7,1
6.17,1,6.5,1,5.3,4.7,1,51.1,67.8,0
6.95,6,7.7,1,8.2,7.7,1,72.3,82.2,1
8.14,1,5.8,0,5.9,5.1,2,78.4,64.2,1
7.43,3,5.9,0,4.7,5.0,0,58.7,62.1,0
6.95,3,6.9,0,6.3,5.9,2,74.3,69.5,1
7.38,2,5.2,0,6.4,6.0,4,72.4,52.0,1
7.02,3,6.5,1,6.9,6.5,1,61.6,54.2,1
6.82,3,7.2,1,6.0,5.3,1,78.6,51.8,1
6.93,0,5.4,0,2.5,3.6,0,54.6,38.5,0
7.78,3,5.9,0,5.2,5.6,1,81.3,75.3,0
7.79,5,8.2,1,7.4,6.8,2,72.9,82.4,1
6.23,0,6.0,0,6.1,5.9,0,59.2,37.9,0
6.11,3,7.2,1,6.8,6.4,1,62.5,65.1,1
7.7,2,6.7,1,7.2,6.9,2,79.3,58.5,1
7.8,3,7.1,0,7.8,8.2,2,78.4,70.5,1
6.17,2,7.6,0,6.2,5.5,1,61.1,75.1,1
6.31,2,5.8,0,4.8,4.1,1,66.7,51.7,0
6.06,1,6.9,0,6.1,6.8,0,49.9,58.1,0
7.75,3,6.8,0,6.8,5.3,2,80.2,72.7,1
6.62,2,6.8,0,6.0,4.7,1,56.5,67.5,0
8.01,3,5.3,1,7.7,6.9,1,75.6,67.4,1
6.84,3,5.1,0,6.3,5.8,1,64.8,45.7,1
7.14,6,7.4,1,9.3,8.4,5,80.1,82.6,1
7.3,4,6.2,1,6.7,6.1,4,70.6,66.4,1
7.03,0,7.5,0,4.3,4.3,0,56.3,66.2,0
5.55,2,7.5,0,6.1,5.4,2,55.2,71.2,0
6.52,1,6.4,0,4.8,5.2,2,61.1,57.4,0
6.44,6,5.7,1,9.2,8.4,2,81.2,79.5,1
5.56,0,4.9,0,3.6,4.4,3,39.8,38.1,0
6.78,2,6.8,1,3.9,4.6,3,57.9,64.4,1
7.13,2,5.7,1,5.8,5.3,1,61.8,59.6,1
8.43,5,6.8,0,8.5,10.0,3,85.9,81.9,1
7.34,5,6.3,1,6.6,7.5,1,62.8,75.1,1
6.78,4,6.2,0,6.7,7.6,4,71.2,53.6,1
7.47,7,8.3,1,7.9,8.1,5,86.0,82.8,1
6.94,1,6.3,0,5.5,6.3,1,65.1,49.9,1
5.62,0,4.8,0,4.3,3.6,0,45.5,47.0,0
7.16,2,5.8,1,6.6,5.2,0,68.2,65.3,1
6.5,4,6.3,0,6.2,6.0,4,71.8,67.8,1
5.92,3,5.8,0,6.4,6.3,2,52.1,51.9,0
9.15,5,5.5,1,8.5,7.3,4,87.7,67.7,1
7.3,7,8.1,1,8.1,6.5,2,71.9,91.1,1
8.3,6,6.3,1,8.2,8.5,2,93.1,70.5,1
7.47,4,7.5,0,5.6,6.2,2,71.1,61.5,1
6.77,2,6.8,0,5.9,5.2,2,60.5,71.2,0
8.31,1,7.4,1,6.2,4.2,0,83.5,75.8,1
5.76,3,7.0,0,6.3,5.6,1,54.1,65.6,0
7.54,3,6.7,1,6.7,5.8,2,89.7,52.8,1
6.45,1,7.7,0,5.4,5.1,1,61.0,80.3,1
7.64,3,7.6,1,5.7,5.1,2,60.7,81.0,1
5.82,2,4.4,0,5.4,3.9,2,56.9,40.0,0
6.02,1,8.2,0,4.7,5.1,1,50.7,62.1,0
6.54,2,7.5,0,5.8,6.7,1,53.9,67.7,1
6.22,0,5.8,0,4.3,4.4,0,64.1,42.2,0
6.46,5,6.7,1,9.6,7.7,2,59.3,87.1,1
6.41,4,7.6,0,5.9,6.7,3,72.5,72.8,0
7.3,5,8.0,1,6.5,6.5,2,71.2,82.5,1
7.28,4,6.9,0,6.4,6.1,2,76.5,68.2,1
7.63,2,7.0,1,6.9,7.1,3,88.4,77.4,1
5.72,1,7.0,0,5.8,5.9,2,52.5,58.9,1
9.45,7,6.6,1,8.8,9.0,2,93.7,64.6,1
6.75,1,9.2,1,7.6,7.8,1,64.5,79.1,1
6.54,3,7.2,0,6.7,7.5,2,72.9,59.9,1
7.8,1,7.7,1,7.0,7.1,2,77.5,72.6,1
7.56,4,6.6,0,7.7,6.6,1,69.7,72.1,1
6.46,3,5.2,0,5.6,5.1,4,49.7,53.9,0
8.88,5,6.8,1,10.0,8.4,2,86.5,80.7,1
7.63,3,7.8,0,6.7,6.1,2,73.6,72.6,1
5.52,2,6.9,0,4.3,4.7,0,47.3,66.5,0
7.23,2,5.6,0,6.8,6.1,0,68.4,59.5,1
6.7,3,6.2,1,6.2,5.4,4,59.9,60.5,1
5.59,3,6.6,0,6.3,5.6,2,52.8,56.8,0
6.15,2,5.8,0,6.8,6.3,0,64.8,52.0,0
7.87,2,4.5,0,6.6,7.0,1,78.7,55.4,1
6.64,1,4.8,0,3.4,3.8,2,48.7,57.4,0
5.37,2,5.1,0,5.2,4.9,1,48.7,53.1,0
7.54,5,5.9,1,8.0,6.1,2,86.1,57.1,1
7.33,4,5.6,0,8.3,7.5,2,76.5,62.8,1
6.3,2,5.5,0,6.2,7.0,1,58.6,58.7,0
6.01,2,3.3,0,4.4,4.9,4,52.2,52.2,0
7.73,4,6.7,0,8.6,8.1,0,82.3,76.1,1
6.5,3,6.6,0,5.0,4.1,3,61.5,54.0,0
7.12,2,7.2,0,6.4,6.2,0,64.7,60.3,1
6.5,2,5.0,0,5.8,6.1,2,66.9,41.0,0
7.9,2,7.8,0,5.1,4.8,1,71.4,71.0,1
6.16,2,7.9,1,5.0,5.7,1,52.6,61.8,0
5.69,3,7.9,0,5.3,6.5,3,65.3,75.9,1
6.69,4,7.1,1,7.6,7.6,1,63.5,71.9,1
8.39,3,6.2,1,7.0,6.8,2,83.5,59.6,1
6.83,2,6.9,1,6.9,6.2,2,80.9,67.9,1
4.76,2,5.0,0,7.2,5.4,2,35.0,56.8,0
8.06,3,7.9,1,7.9,7.2,1,84.4,65.9,1
6.67,1,5.6,0,4.8,4.9,1,57.0,60.8,0
8.14,5,6.6,0,7.1,7.2,2,90.8,60.3,1
5.8,2,4.2,0,6.1,5.2,1,59.3,51.0,0
6.82,2,7.5,0,4.9,5.4,2,59.1,52.0,0
7.29,3,7.7,0,7.1,6.2,2,72.5,93.0,1
6.31,1,6.1,0,4.6,4.3,1,67.2,55.0,0
8.55,4,4.8,0,9.0,7.8,2,75.9,65.7,1
6.07,0,4.4,0,3.7,4.0,1,43.9,51.6,0
8.9,4,7.5,0,7.8,7.2,1,93.8,82.4,1
6.91,1,7.2,0,4.5,4.4,0,63.8,54.8,1
6.34,1,8.7,0,4.9,5.1,1,61.4,67.2,0
7.46,3,7.0,0,7.3,6.2,2,90.3,55.7,1
7.16,3,6.9,0,6.9,6.9,2,85.1,58.8,1
6.94,5,8.6,1,7.7,7.3,3,71.3,78.0,1
6.93,2,5.8,0,5.6,5.2,1,54.9,52.1,0
8.56,4,6.0,1,8.3,8.4,1,78.0,55.6,1
4.98,1,7.4,0,4.1,5.3,2,41.0,59.9,0
7.92,7,8.2,0,8.3,8.9,3,82.2,73.7,0
7.35,4,8.2,1,5.7,6.8,3,81.0,68.9,1
6.41,3,8.2,0,5.8,5.6,3,54.5,73.9,1
6.18,6,7.3,0,6.5,6.6,3,58.2,74.4,1
6.48,2,5.3,0,6.0,6.0,1,57.3,55.6,0
7.97,4,6.4,0,5.8,6.9,2,80.0,54.9,1
6.98,1,3.1,0,3.3,2.6,3,49.6,35.3,0
8.28,5,8.0,1,9.1,9.5,3,88.2,81.2,1
6.77,4,6.8,1,9.3,8.8,0,75.3,80.4,1
7.23,3,8.3,1,6.8,6.5,2,74.7,62.4,1
7.82,4,5.4,0,6.4,6.0,1,82.1,47.5,1
9.04,4,7.3,1,7.3,6.9,1,93.2,67.1,1
6.86,3,6.5,1,6.5,6.5,2,70.4,62.8,1
5.76,2,6.2,0,5.6,3.9,2,44.5,52.3,0
7.31,4,5.3,1,6.5,6.5,2,82.4,56.8,1
6.57,3,7.0,0,7.2,6.9,0,67.5,65.2,0
6.7,2,5.8,0,6.9,5.9,2,65.3,62.7,1
6.97,5,6.3,1,7.8,5.9,3,64.8,79.7,0
5.69,3,5.9,0,4.3,5.1,1,64.2,62.1,0
7.38,2,6.8,0,5.7,5.3,2,71.3,57.5,1
5.92,2,4.6,0,4.9,4.8,1,60.3,45.1,0
7.04,1,6.7,0,7.5,7.5,0,81.0,68.3,1
6.67,1,6.8,0,4.6,4.5,0,44.8,44.1,0
7.55,4,4.4,0,6.8,5.7,2,71.6,46.5,1
6.77,1,5.9,0,5.8,5.5,1,70.2,64.6,1
7.74,3,5.8,0,5.8,5.8,1,77.5,59.3,1
7.48,4,7.2,0,7.0,7.3,2,74.2,71.7,1
6.77,2,6.5,0,4.4,5.3,2,72.9,55.8,0
6.99,2,5.9,0,5.3,5.8,0,55.9,59.3,0
6.83,2,6.8,0,6.4,5.2,1,62.5,63.9,1
9.16,6,7.7,0,8.2,7.4,3,100.0,95.0,1
5.13,0,4.9,0,3.3,3.5,0,35.0,43.8,1
6.87,3,7.5,1,7.7,7.8,2,83.7,81.5,1
5.52,3,6.9,0,4.6,4.9,2,49.8,59.2,0
6.91,3,7.0,1,5.8,6.0,2,77.1,65.7,1
7.65,1,8.5,0,5.3,5.2,2,76.8,72.7,1
8.4,4,6.0,1,7.0,7.0,3,95.5,57.3,1
6.52,2,6.4,0,6.3,6.4,1,68.9,54.5,1
8.3,4,7.7,0,6.6,6.2,1,87.1,68.0,1
6.38,0,4.6,0,3.4,4.1,0,56.5,46.7,0
6.17,1,4.0,0,5.4,5.4,0,51.9,65.3,0
8.76,5,4.2,1,6.8,7.2,4,87.6,55.6,1
5.74,0,3.7,0,4.0,3.0,1,52.5,35.0,0
